,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Change To Liabilities,-1152000000.0,10000000.0,-64861000.0,98136000.0
Total Cashflows From Investing Activities,-1133000000.0,-635000000.0,-691348000.0,-1205525000.0
Net Borrowings,56000000.0,-283000000.0,32120000.0,372284000.0
Total Cash From Financing Activities,-669000000.0,-570000000.0,-146993000.0,191453000.0
Change To Operating Activities,-21000000.0,14000000.0,6731000.0,65228000.0
Net Income,741000000.0,-280000000.0,-124443000.0,-177844000.0
Change In Cash,-614000000.0,91000000.0,286503000.0,85081000.0
Repurchase Of Stock,-7000000.0,-7000000.0,-7000000.0,-7000000.0
Total Cash From Operating Activities,1188000000.0,1296000000.0,1124844000.0,1099153000.0
Depreciation,960000000.0,788000000.0,641911000.0,588581000.0
Change To Inventory,59000000.0,26000000.0,-44263000.0,-22664000.0
Change To Account Receivables,45000000.0,49000000.0,124996000.0,-13347000.0
Other Cashflows From Financing Activities,-239000000.0,-287000000.0,-179113000.0,-180831000.0
Change To Netincome,315000000.0,449000000.0,351517000.0,343817000.0
Capital Expenditures,-411000000.0,-315000000.0,-350370000.0,-376663000.0
