,2019-12-31,2018-12-31
Research Development,,
Effect Of Accounting Charges,,
Income Before Tax,78100000.0,48500000.0
Minority Interest,,
Net Income,54500000.0,33800000.0
Selling General Administrative,,
Gross Profit,78900000.0,49300000.0
Ebit,78500000.0,48900000.0
Operating Income,78500000.0,48900000.0
Other Operating Expenses,,
Interest Expense,-400000.0,-400000.0
Extraordinary Items,,
Non Recurring,,
Other Items,,
Income Tax Expense,23600000.0,14700000.0
Total Revenue,85700000.0,56000000.0
Total Operating Expenses,7200000.0,7100000.0
Cost Of Revenue,6800000.0,6700000.0
Total Other Income Expense Net,-400000.0,-400000.0
Discontinued Operations,,
Net Income From Continuing Ops,54500000.0,33800000.0
Net Income Applicable To Common Shares,54500000.0,33800000.0
