,2020-12-27,2020-09-27,2020-06-30,2020-03-31
Intangible Assets,545798000.0,545798000.0,201650000.0,201650000.0
Total Liab,439547000.0,439547000.0,609374000.0,609374000.0
Total Stockholder Equity,1225400000.0,1225400000.0,814039000.0,814039000.0
Other Current Liab,6940000.0,6940000.0,20085000.0,20085000.0
Total Assets,1664947000.0,1664947000.0,1423413000.0,1423413000.0
Common Stock,874724000.0,874724000.0,480507000.0,480507000.0
Other Current Assets,3926000.0,3926000.0,1309000.0,1309000.0
Retained Earnings,323659000.0,323659000.0,312673000.0,312673000.0
Other Liab,46266000.0,46266000.0,47850000.0,47850000.0
Treasury Stock,27017000.0,27017000.0,20859000.0,20859000.0
Other Assets,6205000.0,6205000.0,8749000.0,8749000.0
Cash,251242000.0,251242000.0,22882000.0,22882000.0
Total Current Liabilities,285955000.0,285955000.0,305974000.0,305974000.0
Deferred Long Term Asset Charges,5693000.0,5693000.0,6696000.0,6696000.0
Other Stockholder Equity,27017000.0,27017000.0,20859000.0,20859000.0
Property Plant Equipment,444571000.0,444571000.0,454724000.0,454724000.0
Total Current Assets,666198000.0,666198000.0,409685000.0,409685000.0
Long Term Investments,2175000.0,2175000.0,2119000.0,2119000.0
Net Tangible Assets,679602000.0,679602000.0,265903000.0,265903000.0
Net Receivables,114851000.0,114851000.0,110820000.0,110820000.0
Long Term Debt,98641000.0,98641000.0,247260000.0,247260000.0
Inventory,296179000.0,296179000.0,257372000.0,257372000.0
Accounts Payable,225633000.0,225633000.0,201812000.0,201812000.0
Good Will,,,346486000.0,346486000.0
