,2021-02-28,2020-11-30,2020-08-31,2020-05-31
Intangible Assets,927000000.0,927000000.0,223000000.0,223000000.0
Total Liab,53217000000.0,53217000000.0,52541000000.0,52541000000.0
Total Stockholder Equity,4420000000.0,4420000000.0,4231000000.0,4231000000.0
Other Current Liab,22000000.0,22000000.0,24000000.0,24000000.0
Total Assets,57637000000.0,57637000000.0,56772000000.0,56772000000.0
Common Stock,3870000000.0,3870000000.0,3869000000.0,3869000000.0
Other Current Assets,44000000.0,44000000.0,,
Retained Earnings,273000000.0,273000000.0,441000000.0,441000000.0
Other Liab,48000000.0,48000000.0,10000000.0,10000000.0
Treasury Stock,277000000.0,277000000.0,-79000000.0,-79000000.0
Other Assets,47969000000.0,47969000000.0,46944000000.0,46944000000.0
Cash,1136000000.0,1136000000.0,1253000000.0,1253000000.0
Total Current Liabilities,42416000000.0,42416000000.0,41192000000.0,41192000000.0
Deferred Long Term Asset Charges,73000000.0,73000000.0,122000000.0,122000000.0
Other Stockholder Equity,277000000.0,277000000.0,-79000000.0,-79000000.0
Property Plant Equipment,135000000.0,135000000.0,148000000.0,148000000.0
Total Current Assets,3367000000.0,3367000000.0,4223000000.0,4223000000.0
Long Term Investments,5239000000.0,5239000000.0,4549000000.0,4549000000.0
Net Tangible Assets,3493000000.0,3493000000.0,3323000000.0,3323000000.0
Net Receivables,695000000.0,695000000.0,862000000.0,862000000.0
Long Term Debt,10753000000.0,10753000000.0,11339000000.0,11339000000.0
Accounts Payable,41469000000.0,41469000000.0,40051000000.0,40051000000.0
Good Will,,,685000000.0,685000000.0
Short Term Investments,,,100000000.0,100000000.0
