,2021-01-31,2020-10-31,2020-07-31,2020-04-30
Intangible Assets,101078000.0,101078000.0,101159000.0,101159000.0
Total Liab,2202812000.0,2202812000.0,2116843000.0,2116843000.0
Total Stockholder Equity,4104011000.0,4104011000.0,4239793000.0,4239793000.0
Minority Interest,935495000.0,935495000.0,872194000.0,872194000.0
Other Current Liab,36121000.0,36121000.0,13649000.0,13649000.0
Total Assets,7242318000.0,7242318000.0,7228830000.0,7228830000.0
Common Stock,48866000.0,48866000.0,43232000.0,43232000.0
Other Current Assets,58715000.0,58715000.0,74793000.0,74793000.0
Retained Earnings,4079572000.0,4079572000.0,4133308000.0,4133308000.0
Other Liab,975480000.0,975480000.0,957782000.0,957782000.0
Good Will,16027000.0,16027000.0,16027000.0,16027000.0
Treasury Stock,-24427000.0,-24427000.0,63253000.0,63253000.0
Other Assets,2612828000.0,2612828000.0,210576000.0,210576000.0
Cash,342152000.0,342152000.0,293231000.0,293231000.0
Total Current Liabilities,478310000.0,478310000.0,484488000.0,484488000.0
Deferred Long Term Asset Charges,53450000.0,53450000.0,95909000.0,95909000.0
Short Long Term Debt,1930000.0,1930000.0,13031000.0,13031000.0
Other Stockholder Equity,-24427000.0,-24427000.0,63253000.0,63253000.0
Property Plant Equipment,2442880000.0,2442880000.0,2466520000.0,2466520000.0
Total Current Assets,1098801000.0,1098801000.0,902996000.0,902996000.0
Long Term Investments,970704000.0,970704000.0,3531552000.0,3531552000.0
Net Tangible Assets,3986906000.0,3986906000.0,4122607000.0,4122607000.0
Net Receivables,173769000.0,173769000.0,147672000.0,147672000.0
Long Term Debt,624889000.0,624889000.0,575422000.0,575422000.0
Inventory,139183000.0,139183000.0,114102000.0,114102000.0
Accounts Payable,142832000.0,142832000.0,142172000.0,142172000.0
Short Term Investments,,,51582000.0,51582000.0
